book_id,genres
6066819,"'fiction', 'romance', 'mystery', 'thriller', 'crime'"
89375,"'non-fiction', 'history', 'historical fiction', 'biography', 'fiction', 'comics', 'graphic'"
54270,"'history', 'historical fiction', 'biography', 'non-fiction', 'comics', 'graphic'"
38568,"'fantasy', 'paranormal', 'romance', 'fiction'"
38562,"'fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime'"
175242,"'mystery', 'thriller', 'crime', 'fiction', 'fantasy', 'paranormal'"
27220736,"'history', 'historical fiction', 'biography', 'non-fiction', 'comics', 'graphic'"
300044,"'young-adult', 'fiction', 'romance', 'fantasy', 'paranormal', 'children', 'mystery', 'thriller', 'crime'"
18528190,"'non-fiction', 'history', 'historical fiction', 'biography'"
20768868,"'mystery', 'thriller', 'crime', 'fiction'"
3475268,"'fantasy', 'paranormal', 'fiction', 'romance', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography'"
1113545,"'fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime'"
19057,"'young-adult', 'fiction', 'mystery', 'thriller', 'crime', 'romance', 'fantasy', 'paranormal'"
4005310,"'non-fiction', 'history', 'historical fiction', 'biography'"
64732,"'fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime'"
179174,"'comics', 'graphic', 'fiction', 'children', 'mystery', 'thriller', 'crime', 'young-adult', 'fantasy', 'paranormal'"
18600,"'non-fiction', 'history', 'historical fiction', 'biography', 'fiction', 'comics', 'graphic', 'mystery', 'thriller', 'crime'"
15676,"'fiction', 'mystery', 'thriller', 'crime', 'fantasy', 'paranormal'"
15677,"'fiction', 'mystery', 'thriller', 'crime'"
15673,"'children', 'fiction', 'young-adult', 'fantasy', 'paranormal'"
11309018,"'young-adult', 'fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'children', 'romance'"
29780253,"'non-fiction', 'history', 'historical fiction', 'biography', 'comics', 'graphic'"
300905,"'fiction', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography', 'romance'"
8369681,"'young-adult', 'romance', 'fiction'"
14069,"'fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'young-adult'"
14064,"'fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime'"
13143,"'mystery', 'thriller', 'crime', 'fiction'"
17325147,"'romance', 'young-adult', 'fiction'"
186074,"'fantasy', 'paranormal', 'fiction', 'young-adult', 'romance'"
13230263,"'non-fiction', 'history', 'historical fiction', 'biography', 'fiction'"
772852,"'non-fiction', 'history', 'historical fiction', 'biography', 'fiction', 'comics', 'graphic', 'mystery', 'thriller', 'crime'"
14975,"'fiction', 'history', 'historical fiction', 'biography', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'romance'"
477338,"'young-adult', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'fiction', 'romance'"
13235689,"'non-fiction', 'history', 'historical fiction', 'biography'"
6517407,"'fiction', 'romance'"
22738563,'non-fiction'
659622,"'fiction', 'young-adult', 'romance', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography'"
7897620,"'fiction', 'mystery', 'thriller', 'crime', 'romance', 'history', 'historical fiction', 'biography'"
5338,"'fantasy', 'paranormal', 'poetry', 'fiction', 'children', 'romance', 'young-adult'"
17950614,"'young-adult', 'fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'romance'"
676924,"'romance', 'fiction', 'young-adult', 'fantasy', 'paranormal'"
147844,"'fantasy', 'paranormal', 'fiction', 'young-adult', 'romance', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime'"
147843,"'fantasy', 'paranormal', 'young-adult', 'fiction', 'romance', 'history', 'historical fiction', 'biography'"
4954833,"'fiction', 'history', 'historical fiction', 'biography', 'romance'"
25624089,"'history', 'historical fiction', 'biography', 'non-fiction', 'fiction', 'comics', 'graphic', 'mystery', 'thriller', 'crime'"
17994,"'non-fiction', 'history', 'historical fiction', 'biography'"
533675,"'children', 'fantasy', 'paranormal', 'fiction', 'young-adult'"
1375896,"'fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime'"
64481,"'fiction', 'history', 'historical fiction', 'biography', 'young-adult', 'mystery', 'thriller', 'crime', 'romance', 'children'"
6403690,'non-fiction'
13878,"'fantasy', 'paranormal', 'fiction'"
13872,"'fiction', 'fantasy', 'paranormal'"
58027,"'fiction', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime'"
1491906,"'non-fiction', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography'"
191113,"'children', 'fiction', 'fantasy', 'paranormal'"
191117,"'children', 'fiction', 'fantasy', 'paranormal'"
59980,"'comics', 'graphic', 'fiction', 'mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'young-adult'"
6495359,"'mystery', 'thriller', 'crime', 'fiction'"
25065629,"'non-fiction', 'history', 'historical fiction', 'biography', 'comics', 'graphic'"
60229,"'fiction', 'fantasy', 'paranormal', 'young-adult'"
60223,"'romance', 'fiction'"
60220,"'romance', 'fiction'"
5607622,"'fiction', 'history', 'historical fiction', 'biography'"
8683812,"'fiction', 'history', 'historical fiction', 'biography', 'romance', 'non-fiction'"
14358,"'young-adult', 'fiction', 'fantasy', 'paranormal', 'children', 'romance'"
129650,'non-fiction'
352383,"'fiction', 'history', 'historical fiction', 'biography', 'poetry'"
113205,"'fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography'"
71870,"'young-adult', 'fiction', 'mystery', 'thriller', 'crime'"
20881071,"'mystery', 'thriller', 'crime', 'fiction'"
116236,"'fiction', 'history', 'historical fiction', 'biography', 'young-adult', 'children', 'non-fiction'"
56594,"'non-fiction', 'history', 'historical fiction', 'biography', 'comics', 'graphic', 'fiction', 'romance', 'poetry'"
6936382,"'young-adult', 'romance', 'fiction'"
12675109,'non-fiction'
20499240,"'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'fiction', 'romance'"
28815474,"'mystery', 'thriller', 'crime', 'fiction'"
9440448,"'mystery', 'thriller', 'crime', 'fiction'"
6697,"'fiction', 'history', 'historical fiction', 'biography'"
20588698,"'non-fiction', 'history', 'historical fiction', 'biography', 'comics', 'graphic'"
4364,"'non-fiction', 'history', 'historical fiction', 'biography', 'fiction', 'mystery', 'thriller', 'crime'"
13323842,"'fantasy', 'paranormal', 'young-adult', 'romance', 'fiction'"
6320534,"'fiction', 'mystery', 'thriller', 'crime', 'fantasy', 'paranormal'"
15793074,"'fiction', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime', 'romance'"
71458,"'fiction', 'non-fiction', 'history', 'historical fiction', 'biography'"
639864,"'non-fiction', 'history', 'historical fiction', 'biography', 'comics', 'graphic'"
22200,"'fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime'"
22207,"'fiction', 'young-adult', 'mystery', 'thriller', 'crime'"
22206,"'fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'romance'"
22205,"'young-adult', 'romance', 'fiction'"
7821828,"'non-fiction', 'history', 'historical fiction', 'biography', 'fiction'"
22027459,"'fiction', 'mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'romance', 'young-adult'"
71332,"'fiction', 'young-adult', 'non-fiction', 'poetry', 'history', 'historical fiction', 'biography'"
73070,"'romance', 'fiction'"
